,Decrypt,Forbes,U.Today,Cointelegraph,BeInCrypto,Bitcoin.com,Bitcoinist,Blockworks,Bitcoin Magazine,The Block,Crypto Daily,CoinGape,The Daily Hodl,AMBCrypto,CryptoPotato,labels
0,35.51790231750125,92.55726635456085,43.860425378965296,44.062055876621834,24.625476598739624,42.35138777229521,43.944473429159686,35.35849153995514,41.63660194192614,52.08174947061037,69.33335342577526,26.802892610430717,52.347733080387115,57.709585428237915,39.199637302330565,0
1,32.36224339766936,1.1920362710952759,43.566003960111864,71.41484895656849,37.0724258514551,40.80365916093191,43.539463149176704,62.379976361989975,40.58051797059866,56.23172590365777,72.09361158311367,19.923485002734445,38.11512254178524,59.07354533672333,48.94041625353006,0
2,32.699683805306755,93.45191836357117,48.325550085619874,35.054890876230985,26.580668560096196,46.50535173714161,27.341266111894086,59.04451608657837,82.72369137177101,40.137226077226494,77.41849560004015,30.841949841250543,40.8672921359539,39.993749260902405,34.65294413841688,0
3,29.843297600746155,56.72024637460708,5.7750266790390015,38.39553915537321,47.745813926061,49.19707514345646,76.16754273573558,10.263478755950928,62.03703151808845,52.54435479640961,61.24639709790548,36.521960132651856,34.23309257397285,33.655498921871185,19.889699599959634,0
4,42.84418225288391,99.62555170059204,45.36095820367336,49.73676949739456,35.67368686199188,46.38291895389557,34.73859826723734,10.263478755950928,99.45936501026154,71.75179272890091,49.50015842914581,0.37757605314254755,34.97093208134174,0.5007147789001465,46.92814014852047,0
5,35.449833422899246,33.3103875319163,29.08115492147558,40.838719407717385,28.692323366800945,15.906677501542228,54.49149277475145,49.9667339026928,54.38597425818443,45.27658745646477,49.97010653217634,16.485271283558436,55.77184349298477,0.24791161219278968,39.71427381038666,0
6,43.39267050518709,49.13541227579117,45.12473603953486,49.509999794619425,37.9096458939945,36.419095595677696,69.13708540109488,93.94239485263824,52.0173708597819,52.344119350115456,56.21187480596396,25.07209688425064,12.14984113519842,2.92745977640152,53.30830993859664,0
7,38.64359073340893,77.00247392058372,36.36658593364384,45.04254046413634,32.35900681465864,42.65368315908644,49.54396411776543,17.327033621924265,46.55153999725977,53.20433467626572,69.44242452873902,28.70774745941162,23.424996435642242,30.23943645613534,55.134022761793695,0
8,49.642136842012405,99.72685277462006,38.799158516137496,46.404458795275005,27.884360551834106,38.68774175643921,52.42130696773529,66.50038262208302,74.48633201420307,45.673855597322635,50.28751082718372,22.648482287631314,24.12631234952382,62.34806701540947,56.2550201302483,0
9,38.279553055763245,0.0426113605499267,32.73153950770696,51.777391206650506,19.84024425347646,26.96908675134182,36.69199539082391,45.882622400919594,46.98034610067095,22.604023747973972,49.55471960397867,22.77293900648753,52.544477231362286,2.0422033965587616,32.599131998262905,0
10,28.663046019417898,0.7907438278198242,44.92463740435514,57.259366458112545,49.287720024585724,32.68411031791142,73.88952895998955,40.43449878692627,73.07750955224037,33.50732823212942,33.84959717591604,21.415072544054553,50.79234103361765,42.463842034339905,37.766330440839134,0
11,30.614442378282547,12.399083375930786,36.89402531493794,38.30105264981588,33.38866978883743,47.46364702781042,24.62196871638298,40.43449878692627,98.48458766937256,6.154876202344894,91.55941903591156,1.9936484098434448,39.90178836716546,0.0149667263031005,24.289925260977313,0
12,34.34888074795405,33.14207295576732,38.1109723678002,26.534416458823465,37.266921831501854,46.98010872710835,36.71936750411987,99.19044077396391,50.464299321174614,70.42103856801987,61.280503273010254,12.34113011095259,59.20380439077105,73.97374659776688,35.830108182770864,0
13,32.97705319192674,0.0047862529754638,33.313735609962826,26.833049740110123,32.857128693943935,53.736780025064945,21.61955420787518,17.351931333541867,33.41885970698463,20.37841704758731,29.115352282921474,20.798288583755493,20.54739793141683,13.772919774055481,48.79830019040541,0
14,37.82481700181961,0.5683203538258871,40.67960634827614,27.820348408487106,17.95210618039836,38.454343378543854,34.51774716377258,55.83524405956268,36.494588355223335,58.861091919243336,52.47678409020106,19.514713436365128,19.827301587377274,51.11154243350029,38.453080343163535,0
15,25.40074686209361,65.8318708340327,41.41176442305247,30.214689285666854,26.409204539499786,37.73159699307548,49.87780302762985,25.146809220314026,40.02561420202255,65.62974651654561,52.19348986943563,18.181355794270832,43.01222137042454,63.27691376209259,53.07927876710892,0
16,49.36129493372781,43.99002119898796,38.71816112236543,35.13314400030219,38.91810410552554,50.9809885174036,41.52532709496362,50.21760513385137,50.956834852695465,57.10779779097613,40.30247827370962,22.300769651637356,24.315525591373444,66.5604571501414,53.74635607004166,0
17,12.378041942914328,50.04547834396362,41.05015722188082,47.392095790969,22.559021785855293,41.856187768280506,45.9466145435969,50.63455283641815,67.18197677816663,18.69412511587143,55.31002078205347,29.580620924631756,29.109455857958114,85.64853109419346,43.70545489447458,0
18,6.251087039709091,84.18065905570984,41.86052903532982,51.95503085851669,21.329325437545776,39.478034575780235,29.688843190670013,50.63455283641815,0.28925538063049316,24.258012431008474,17.930278182029724,11.135952174663544,25.67252947224511,74.08679351210594,75.62346458435059,0
19,46.00062221288681,1.1063545942306519,40.585834639413015,26.91734688622611,22.414150089025497,46.86277930935224,48.640720546245575,50.63455283641815,95.75730711221695,53.38728278875351,3.890282412370046,4.070828557014465,3.608907386660576,49.952058494091034,39.319009672511704,0
20,29.68966892132392,92.99885630607605,52.162625737812206,33.57627878063604,35.647815465927124,32.15464770793915,34.53017771244049,41.05881303548813,43.28278124332428,25.510439005765047,63.04880976676941,18.946132470260967,31.596616506576538,29.163928826649983,42.98485076945761,0
