,coin-id,close-price,market-cap,volume
735,bitcoin,29584.949851985926,563577022957.9133,23108764916.2066
1930,ethereum,1944.8428445072448,235347664835.4594,12554611854.439222
5230,tether,1.0002520711114598,73283972220.11108,41044607104.102905
677,binancecoin,326.18222222703326,54907712188.86128,2048522177.8231905
5559,usd-coin,1.0004476274021938,53459678522.20076,4249466137.753642
4497,ripple,0.4063029819956092,19651540840.327023,2015843764.237949
674,binance-usd,0.9986143544262528,18436602630.27737,5298255804.905449
980,cardano,0.5143498842212021,17398748801.043335,462766230.3377144
4853,solana,48.056134850350986,16335715467.127665,1161803907.879002
1677,dogecoin,0.0836745598834525,11141351865.763996,340099056.6201669
4165,polkadot,9.855449944611918,11001255600.649736,401058791.2259247
5848,wrapped-bitcoin,29567.592919202616,8158670732.750473,256676066.40718016
5406,tron,0.0846974107198607,8023557573.224054,1423424162.4404554
4997,staked-ether,1902.2393322985,7988197887.759521,47114276.30171464
471,avalanche-2,27.22219816282344,7400321288.295898,559000632.9247844
4714,shiba-inu,1.1602385450903912e-05,6366709432.626448,266345363.6186528
1420,dai,1.000725823151647,6169014882.325718,312338946.5436276
3093,litecoin,68.24843994845807,4802383937.022762,429479050.6585351
1322,crypto-com-chain,0.184169459015888,4652282655.691441,27433040.27086115
3033,leo-token,4.884520588615649,4581787291.729955,2415884.049529761
3265,matic-network,0.647959688718728,4451830830.085919,355951261.5514216
3657,near,5.742703861917344,4000186564.6717215,324400334.3374337
2168,ftx-token,29.009741794161148,3952867396.980001,73071999.8102817
3513,monero,204.24466084038693,3702147435.608052,224706574.1573706
712,bitcoin-cash,190.8983815046428,3641652003.333808,829759935.2609504
3840,okb,12.661063314431477,3294619368.009494,10325613.335353317
5031,stellar,0.1323509606847399,3291271138.4392056,150910025.0524233
1053,chainlink,7.006162544591495,3271629299.7871146,334307042.1548791
1922,ethereum-classic,23.758425719915483,3206602246.60759,670710931.7385948
1248,cosmos,10.7247965133403,3137283867.40726,237133528.94932023
2095,flow,2.696808371089197,2797283794.979217,37781570.135444775
232,algorand,0.4048021284414836,2758997966.4566565,103329662.74175608
5511,uniswap,5.617416101481032,2568869893.1616225,141052195.6227811
311,apecoin,7.341055204715511,2145001185.882904,322670862.8764065
5598,vechain,0.0314610028075424,2100739683.527766,193132957.66515312
2478,hedera-hashgraph,0.0976932637587812,2051645896.234244,28404144.20012973
1849,elrond-erd-2,87.37529681969926,1958933797.1822436,35950181.94029244
5277,theta-fuel,0.064447117983654,1886178773.9046776,12662091.6616389
5233,tezos,2.121447697441082,1880912789.3447804,112327021.00332874
2715,internet-computer,7.783645646565101,1822019130.0722065,55804054.96465692
1045,chain-2,0.1044433197390225,1769470082.5050497,82825970.59971087
2049,filecoin,8.172643316339316,1740144596.737398,190323360.92522827
5265,the-sandbox,1.3996927831165842,1723356997.649697,469306790.5501142
489,axie-infinity,20.981401455693412,1679706777.512257,155004662.1530591
1479,decentraland,1.0588349941534665,1592183612.2948003,267670980.8753535
2969,kucoin-shares,16.13382117320836,1579557733.2739346,6449982.406063232
1191,compound-ether,39.33223738607078,1565890887.3314917,93.44926400634988
121,aave,102.0798989724034,1418943808.261312,222682111.3885665
2143,frax,0.9995285528757826,1416586079.8496668,19029153.51502976
2924,klay-token,0.4666737709571936,1334680708.1294322,65864868.51368119
1886,eos,1.322231198839619,1319151196.7865095,282470733.406832
1517,defichain,2.4730758537015998,1297612057.30924,11686290.112536114
5412,true-usd,1.0007691805017351,1234904477.34489,104917315.36147024
5278,theta-token,1.2313043150466398,1234292088.008827,68553196.13289812
6032,zcash,95.5801924113498,1194112728.4054792,108003673.19056836
5217,terra-luna,0.0001792780087426,1174531021.8909087,652953106.4764433
2587,huobi-btc,29533.863307711283,1150574223.3534992,70183.30130104636
3212,maker,1261.1845768327323,1138945010.5363586,68607513.1129178
1196,compound-usd-coin,0.0226139890933381,1108634883.2406723,77.72907951958007
2593,huobi-token,7.019160444200369,1087776354.5344875,34088360.61550771
766,bittorrent,1.1354675681915686e-06,1055615041.1003149,132201074.55758014
5250,the-graph,0.1508684159094268,1045889558.3080542,87611842.00876342
5222,terrausd,0.0933778533941272,1037233886.8754565,812016649.4570826
2017,fantom,0.4025076699034121,1023979137.3769728,355007335.808404
