,coin-id,close-price,market-cap,volume
764,bitcoin,22696.90275429005,433485926857.3929,40304373301.41499
1973,ethereum,1536.124922238913,183933879174.97644,18084368731.242767
5379,tether,1.0002496307277506,65854001213.285965,56089014934.2524
5711,usd-coin,1.0006981765746814,54906314484.15263,5565499576.983699
704,binancecoin,262.63868687491663,42796458925.05032,1090064249.8968377
701,binance-usd,1.000538900632193,17942797174.019733,6309613613.160929
4637,ripple,0.3582453885163846,17324899057.00061,12852784687.791931
1014,cardano,0.4839420130448504,16342041083.86102,778656829.7809081
4993,solana,40.57509235571396,14004906061.876736,1394893424.65535
1717,dogecoin,0.0676911236690822,8951022775.874964,370742500.2860777
4301,polkadot,7.305335424196388,8278054689.219274,409965947.3129851
4854,shiba-inu,1.173317390970986e-05,6906977839.023146,442612339.0557521
1457,dai,1.00092578896376,6862712123.365154,364816134.8963087
3371,matic-network,0.8537163295085609,6824184489.568578,999669023.2112846
489,avalanche-2,23.69983679628257,6709880792.365269,584266376.8289907
5144,staked-ether,1505.8027550711606,6407474200.286925,19537429.66927094
5558,tron,0.0670835987623664,6193909013.405083,474842702.2803055
6006,wrapped-bitcoin,22709.858102900023,5368901295.171023,377618599.3608574
3125,leo-token,5.375726314331018,5032873854.551507,1599511.45381943
3192,litecoin,56.13431551773756,3968365820.7820616,436119911.6316982
2219,ftx-token,28.925805162686867,3902910025.828786,85716871.67314598
3962,okb,14.955016577035456,3834756073.535768,12741694.855789827
1965,ethereum-classic,25.04300956305556,3397512329.944029,1041181199.8135756
1358,crypto-com-chain,0.1311817126194855,3305376451.08476,17650521.787874065
3770,near,4.331625147317917,3212902153.219981,292869994.1191785
1085,chainlink,6.80014662833071,3174699783.916661,503213031.0635868
5665,uniswap,6.902376937073651,3146249214.0407686,154075868.42237002
1284,cosmos,10.671857616473227,3112603543.3815823,418089864.81057024
5180,stellar,0.1119753600760172,2808137449.497642,141845578.91250995
3624,monero,149.0610728874908,2703038258.1780124,136393234.22374728
742,bitcoin-cash,123.19999654851532,2353533561.6500826,741987232.495265
240,algorand,0.3382710577962862,2345556519.1456184,92950387.35411803
1077,chain-2,0.0894376028588992,1916856683.5886068,16069097.00811296
2147,flow,1.8513565102753025,1916238272.2483644,55237317.9234589
324,apecoin,6.217788181719137,1900352104.77836,723724430.3780425
5429,theta-fuel,0.0574086511994711,1886178773.9046776,7501722.983691616
5753,vechain,0.0253499427486882,1836475444.2298813,116184141.93092228
5417,the-sandbox,1.334218535894342,1706450412.0022037,374089086.9383701
1513,decentraland,0.9349743834849824,1684894386.5056105,260888698.34503523
