,coin-id,close-price,market-cap,volume
910,bitcoin,22220.070997481067,428649056117.7321,45363697019.73754
2377,ethereum,1556.963484345393,187619568130.73468,11723184974.304256
6580,tether,1.0007037602970557,69541171926.41,60633824927.9751
839,binancecoin,296.2006166788949,46811338177.70054,1005050377.4962156
6978,usd-coin,0.999558388941722,41098392955.17223,3947202535.648201
5684,ripple,0.3832279512992212,19466658327.996437,1276863097.1649044
836,binance-usd,1.0005250816939346,15474072618.023188,12103305245.69787
1216,cardano,0.3872922178928387,13575572016.582714,498029508.5868461
2065,dogecoin,0.0837899612852506,11574352108.29937,546678835.7508724
4100,matic-network,1.2603523710100084,11343038345.486263,828145360.4008732
4848,okb,42.244567911627534,10408258120.46739,44487359.7229633
6120,solana,21.84521831785152,8222948441.256965,850945955.5827794
6296,staked-ether,1556.9251129256038,7945234017.430379,9655653.844790682
5943,shiba-inu,1.2769012004049169e-05,7545153396.8912,351532154.8973267
5259,polkadot,6.234367785778781,7496941327.303583,278124947.47988665
3889,litecoin,95.64563040377853,6910404875.000352,660935177.8127768
6799,tron,0.0668563706084602,6125691515.790792,372769060.5197281
586,avalanche-2,18.17250375813213,5728373612.014671,242454605.7083901
1753,dai,1.0005024658045112,5085072047.406599,251774316.37743783
6925,uniswap,6.586161130730303,4964736549.649795,89763139.50202547
1544,cosmos,13.424936268003798,3928097707.6909904,194029595.4126355
7345,wrapped-bitcoin,22276.410048145543,3920636863.376161,189028180.7289591
6618,the-open-network,2.2969285200580085,3383150039.511856,24665137.483496077
1299,chainlink,6.816043385884481,3350636604.9232607,300954608.4684588
3811,leo-token,3.366181376637748,3134408151.5924067,481998.044519865
2367,ethereum-classic,21.24673422216082,2956967719.8884754,133516973.7807246
4423,monero,158.37669178840676,2874191754.386784,130697808.23665184
398,aptos,14.722390788037732,2473259649.475226,435778779.0979098
882,bitcoin-cash,126.87067213583086,2449778172.889869,173446487.18677783
3060,hedera-hashgraph,0.088053204192429,2290149856.325042,159661483.54523948
6337,stellar,0.0861094540358443,2264701255.847776,61512579.70450912
3834,lido-dao,2.5714288752777703,2168260019.6959863,232328824.39793384
