,coin-id,close-price,market-cap,volume
977,bitcoin,29217.944046809916,565714356650.6621,9711415138.827158
2570,ethereum,1905.2738522732104,229429843509.54,5262009753.405011
7111,tether,1.000952488788206,81811659037.79712,13491816831.1699
906,binancecoin,321.77391168866126,50858247900.902855,478613089.0929595
7546,usd-coin,1.0004558145382083,30517472541.595715,3185876111.568988
6142,ripple,0.4777594384562189,24729043163.78943,630278066.5984057
1303,cardano,0.4026173140049636,14118334309.359602,159646974.98439124
6804,staked-ether,1900.7251029854976,11792497099.543173,20015443.797749706
2225,dogecoin,0.0815734800064934,11348765554.514154,321564006.3603575
4418,matic-network,1.0021654724549396,9269391585.30542,213162869.95521468
6612,solana,23.12840167422879,9092156212.487629,419332790.79053307
5698,polkadot,6.033944475776628,7407756843.436067,119565163.53531247
4193,litecoin,90.99682967799048,6626734446.964801,317673030.9236653
903,binance-usd,1.000708509023486,6201585475.718694,1323705604.189059
7357,tron,0.0680100574855014,6165487809.757553,285532649.2798308
6429,shiba-inu,1.0325570699323518e-05,6088583305.038603,77098564.69359523
647,avalanche-2,17.466930628578538,5729638209.996334,103122632.68143116
1893,dai,0.9999585320223356,4734472383.889999,89301664.00640324
7935,wrapped-bitcoin,29217.05606024104,4499072466.890227,60900697.4258214
7489,uniswap,5.620434804045045,4241663033.937427,52912754.57467177
1399,chainlink,7.180186921633981,3715155767.330896,149343527.39000976
1666,cosmos,11.708493715969466,3426700946.4032626,97330230.88739266
4097,leo-token,3.569387703466325,3321912317.622677,193833.5660229684
7153,the-open-network,2.169023516963968,3198891788.5333757,16183541.661425907
5233,okb,47.68443503198351,2859863952.0304127,5464342.726391127
3666,internet-computer,6.49238467904185,2831036854.9672103,178877870.73929772
4775,monero,154.50695342968862,2804430436.5829263,76585438.62037641
2559,ethereum-classic,19.773889727433243,2782519956.3420167,64386182.97022261
6847,stellar,0.0958711905044679,2565949089.933056,32560964.61542989
2732,filecoin,5.569700922197031,2346176245.9072647,173991393.7835426
949,bitcoin-cash,119.60935904228192,2317807358.3182487,49481346.4704734
7363,true-usd,0.999679034923115,2042018592.273424,88152822.68245694
433,aptos,10.762360653633014,2034667587.2834327,140477004.80125135
1764,crypto-com-chain,0.0752816958210665,1901324513.3713336,20099731.460313085
3313,hedera-hashgraph,0.060894413126038,1898961606.1200764,14812492.40799782
4128,lido-dao,2.097582429029513,1838657215.956728,19658148.33709241
467,arbitrum,1.3640414578888496,1739604999.62876,184152313.21001703
4973,near,1.9360547186350483,1733561972.9720304,39177512.37641668
5919,quant-network,117.71577958968771,1713113302.8424938,19556032.700862363
7599,vechain,0.0226697319663208,1643095603.05674,37179223.99858671
407,apecoin,4.070254084853473,1501614604.330931,43378607.29095813
290,algorand,0.1839911496407508,1333330483.5052135,33802548.46897946
7144,the-graph,0.1392933396313384,1245348775.8282146,27947891.45383981
2682,fantom,0.4305091753654693,1201136176.9983835,103036002.18216224
2508,eos,1.0418596853680924,1149547736.053531,58084178.48926981
7163,the-sandbox,0.5908473636261115,1083699273.5540943,59935210.36776805
5964,radix,0.1053304094523122,1070022915.8632798,12718648.04574709
2463,elrond-erd-2,41.79195287309663,1060014028.919446,41876687.3186976
5482,paxos-standard,0.9982402229993969,1038442304.5245024,1356983.4859874046
131,aave,71.75212896454902,1031694241.6683834,29718355.288683847
7183,theta-token,1.0218808608185062,1019895248.646925,11385984.059421582
1966,decentraland,0.5548578713007057,1012389537.4668696,36998748.94138306
2864,frax,1.0006606727149576,1005067754.9092644,3787513.728934989
2409,edgecoin-2,1.0011721769790751,1002181527.839811,25147727.165848684
1070,blockstack,0.7245865969841444,991837132.4733732,31534610.656207982
3595,immutable-x,1.0099874532237378,965170719.3759832,18658336.042876028
7117,tezos,1.0320738606636644,958876185.8338238,16365119.97738842
2803,flow,0.9062625000763548,938317756.450408,9595436.432934934
669,axie-infinity,7.988365926190035,924906757.898672,25651952.85985689
6161,rocket-pool,47.11797303422282,911154006.1212336,7396408.887142213
6077,render-token,2.366073533835781,861738307.7941861,83993272.39367893
4009,kucoin-shares,8.138457729362989,789688780.9152396,684571.4587884202
3300,havven,2.46678816568424,782772038.3948777,26534729.80011951
4992,neo,10.88429404857323,767154523.6016488,20710180.82123315
1850,curve-dao-token,0.9345973931226796,758043350.0826156,23456274.78353448
2988,gatechain-token,5.296295128994168,736599241.9489295,323028.8544177297
981,bitdao,0.4999351109460863,727350904.9661125,2855311.887669785
7552,usdd,0.9913162838036323,719395794.1736429,24095433.406251155
3945,klay-token,0.22764303213855,702963329.0635382,19597310.393246863
7854,whitebit,4.789970652081315,691078493.654217,11083903.814204004
1609,conflux-token,0.3274277358397505,686460371.9649456,76821232.28983453
5315,optimism,2.179764821268585,686328722.0119113,71735187.48693791
1449,chiliz,0.128028720433038,684370225.5690562,32090902.353197157
7095,terra-luna,0.0001121991782994,662254459.5644071,33913482.41631104
948,bitcoin-cash-sv,34.0563988458595,656262967.2378743,9629289.320393112
3635,injective-protocol,8.078221278035576,647756397.1944168,91006799.47053136
4350,maker,708.0957129959056,639151957.5244017,12344637.518487023
1321,casper-network,0.0582114301380538,636762632.1524551,11486782.349735312
3100,gmx,72.24685518863589,626883575.1060158,11498770.16366185
4691,mina-protocol,0.6830176589552107,609393677.5420972,11047721.8550005
1017,bittorrent,6.305201900462695e-07,602274998.7957284,13358759.327240072
2387,ecash,3.034769517554868e-05,588775425.9304041,12336675.0746125
1933,dash,51.0419991415894,575104687.7482429,33781973.80297461
2863,frax-share,7.991632092137996,572947926.8475513,8190696.903039927
3503,huobi-token,3.523853364460768,571993463.5282941,5477964.177081399
986,bitget-token,0.4025920908204745,563157623.7578844,20527.20834861409
6160,rocket-pool-eth,2035.599052148062,559552552.399051,483700.4898066033
3693,iota,0.2009213590943411,558411655.5914611,6478494.323719808
8051,xdce-crowd-sale,0.0401986113615907,548191965.9155184,3855652.0195442303
5416,pancakeswap-token,2.6901984992397696,535294234.7524288,58791261.37610634
7242,tokenize-xchange,6.61013266819981,528784172.5629719,9071853.775887718
5480,pax-gold,1994.8766134684424,520181092.1861252,7483531.1905434625
3864,kaspa,0.0283865650030887,513228444.8385085,7768338.610112292
1590,compound-ether,38.29236699807908,498439700.0292706,201.8639514161359
7105,tether-gold,1991.538477297252,491403858.64875567,5891335.065184767
7369,trust-wallet-token,1.1725022896272446,488442080.40183467,9665785.891481772
3017,gemini-dollar,0.999807383025213,486744736.6306301,116777.03333788036
8259,zilliqa,0.028848807959518,473786862.2301672,30759336.21597252
2775,flare-networks,0.0318044218148933,466232979.78745705,5237622.607232023
7906,woo-network,0.268289275114661,450374892.6175844,40633404.38283696
5374,osmosis,0.7859583695233319,450255125.70926577,7387778.464949287
697,baby-doge-coin,2.8483224430861667e-09,444640891.5366941,6872569.95335477
4234,loopring,0.3473016394474993,433361789.4710442,17879871.508291513
2364,dydx,2.665036017695681,421864215.2068781,74121135.842647
6523,singularitynet,0.3438662742116177,417754098.0397359,26818132.108613104
7189,thorchain,1.3709998425180958,412205658.38495886,28214904.178904545
14,1inch,0.4947426700754863,405409362.61581695,29727424.47895553
1630,convex-finance,5.2771284107152665,405266920.2000452,1502831.263998882
3872,kava,0.7998567494895532,399231587.5037744,15818600.116135832
2494,enjincoin,0.3978430904041753,398036650.8601423,15469238.603259351
5041,nexo,0.710307362016325,397826439.2833104,3245187.2590330136
539,arweave,7.782911915720549,390378017.50708926,6883234.885626152
1596,compound-usd-coin,0.0228454296017152,385447065.2113639,3.1679245778524163
776,basic-attention-token,0.2534185993777392,378133529.0540585,16176809.892078174
2718,fetch-ai,0.3434709717653631,358085902.083594,35015094.63912848
5168,nxm,52.74417179003732,356573648.0824311,13520.5346368911
8212,zcash,38.45187771351476,352580283.4467522,16296472.163507264
4405,mask-network,4.693156986898577,348133595.0727585,30041435.62146797
2796,floki,3.541040926647268e-05,344765550.4134791,16931328.346698154
5215,oec-token,19.27035115243161,343951106.92997915,654244.3506379881
1214,btse-token,2.1181243952990894,343380265.65672535,1231265.944241691
1354,cdai,0.0222410430359477,338403856.451215,21765.72682511634
4983,nem,0.0375304820151471,338391469.37178475,9112093.419691462
3430,holotoken,0.0019032652946136,338041065.8425611,8183950.102216739
7094,terra-luna-2,1.2692125148196798,332484460.8467723,32605474.150841817
2016,defichain,0.474549435456645,329769146.4805271,3292350.5438465974
2860,frax-ether,1904.8162965996305,319220365.96921283,1137051.246062085
1097,blur,0.7045560953558098,319011083.5738841,67677312.36266607
3766,jasmycoin,0.0066820411570586,318194275.2960442,60938346.55268399
2562,ethereum-name-service,12.31374265463004,317729433.9755845,13115718.04781858
2563,ethereum-pow-iou,2.925625393351031,315526233.1214979,14596479.57844846
5176,oasis-network,0.0626183165110295,315138705.3341852,22770768.46381822
6989,swipe,0.5579300211214867,314046674.8060935,17556027.06228361
7837,wemix-token,1.236116754441595,308450982.438778,3149026.63845413
7182,theta-fuel,0.0503535353024978,308039467.8245633,2907291.5370338047
614,audius,0.3042716912729237,303610554.59181035,8341492.840847592
5917,qtum,2.8943295857139706,302818054.00801176,14544597.590993963
1369,celo,0.6104942683976935,302418138.1870827,8611121.230346343
280,aleph-zero,1.326701236131509,300903969.95052224,1861288.821302464
1437,chia,41.5888817025431,298814191.65838164,1840293.674984936
2944,gala,0.039406124985053,297368099.65866536,74374109.62217748
563,astar,0.0652061838654138,293119093.74956447,5611772.50417341
1591,compound-governance-token,42.38571613928036,290710792.4189865,13949166.60699229
5249,olympus,10.449849951577798,290046672.0019254,926806.2145209174
6008,ravencoin,0.0241568458623039,287886694.17646426,7208737.7650697725
825,beldex,0.0538250564662356,286648153.0749418,1555803.1545184918
3547,icon,0.2982779363091533,284523763.1289649,14884924.04713332
4017,kusama,31.56634530496858,283816244.45637167,9480768.174390296
3105,gnosis,108.29959368852698,280960991.576611,1508112.457269386
1985,decred,18.76796267164847,280318978.7139651,879168.3861939056
4183,liquity-usd,1.015039288490778,278145303.6190899,2785624.200707598
6251,safemoon,6.674146478106668e-09,277800682.8430044,0.0135456569306993
8139,yearn-finance,8272.940942410398,273084479.53761506,14402373.708681235
3586,illuvium,52.99371068414965,265348447.7281386,3880355.8726606527
4163,link,38.86627524992988,263193467.1495177,279664.87770943734
3497,huobi-btc,29269.30710938571,262699524.0095512,14784.2809700733
3327,helium,1.801944655194353,259667619.374877,1058341.312466807
