,coin-id,close-price,market-cap,volume
740,bitcoin,19350.73735007727,370191767290.5106,22074971578.2899
1938,ethereum,1040.7971455029597,124831295049.54146,11555798332.527388
5306,tether,1.0005471433364477,65924529650.69398,46735438947.48022
5637,usd-coin,1.0015175895819546,55307053640.01608,4339289384.558643
681,binancecoin,221.5215445947843,36231969766.81111,1052021066.5359198
678,binance-usd,1.0017154067303695,17908058627.336983,4742650949.8485
4573,ripple,0.3124987716416906,15105806689.09798,936739624.7320569
989,cardano,0.420516187045956,14313569195.36208,582880645.4357321
4927,solana,32.81893154431144,11406193662.951624,821873017.4891754
1689,dogecoin,0.0601000687027873,8008745783.443048,253102827.3622674
4239,polkadot,6.299920689741761,7195524647.333159,274438888.38976103
1431,dai,1.002604336710554,6406079970.859322,277148849.0654802
5484,tron,0.0648074324165304,5999039526.128263,536431744.07875246
4790,shiba-inu,9.99880343332025e-06,5923454229.667505,298673950.9649724
3077,leo-token,5.354236236301138,5010040625.056616,1955970.8100247784
475,avalanche-2,16.95068738814058,4851672513.652909,371796527.7584034
5930,wrapped-bitcoin,19347.0685161156,4814677998.511802,257523101.601947
3322,matic-network,0.5423261271051065,4381619560.261671,642183017.9967875
5077,staked-ether,1000.7204270899508,4261062148.2572255,64040887.86782658
3144,litecoin,47.55025819626911,3376567224.25023,345957649.0782926
2182,ftx-token,23.89798416438158,3240456105.764316,40445759.85781327
3901,okb,11.801630678697082,3040017709.3026767,6011787.574911182
1059,chainlink,5.981422011788188,2809501794.700084,332424559.068297
1331,crypto-com-chain,0.1104960767433865,2796763376.915848,15517518.044840949
5592,uniswap,5.563105032997624,2564727486.0070653,214504875.28633225
5110,stellar,0.1007135479654374,2530496455.8981256,110769720.09505203
3713,near,3.2024095056701847,2369123454.341307,148602676.99652728
1257,cosmos,7.825271633547674,2283594047.834425,210317571.941718
3568,monero,123.70569532065238,2254500425.027611,96129688.81253795
1051,chain-2,0.0964753117441923,2095434328.847398,30093346.238380533
235,algorand,0.2940162811217842,2057628163.237094,63311928.29337471
1930,ethereum-classic,13.896268693057046,1892985254.2823603,123585679.13993664
5355,theta-fuel,0.0474502483314199,1886178773.9046776,4209297.158727788
718,bitcoin-cash,97.9820708718779,1881089713.902974,483894475.84348005
5678,vechain,0.0215567860867614,1571897586.756061,74620435.65844741
2743,internet-computer,6.26296245476036,1558944066.4194858,75155206.24474396
2110,flow,1.4391501091305563,1502821977.0234046,14710462.639417827
1488,decentraland,0.7893089952040504,1437422214.1301277,119572711.08900777
5343,the-sandbox,1.1014962396815728,1406664715.3753865,279927479.3514606
2155,frax,1.001616232649674,1365966453.2870877,5559525.463847098
5309,tezos,1.4390908459521483,1293055627.9026122,77593118.45421182
2498,hedera-hashgraph,0.0599098600037931,1290139771.5904925,14413375.338196654
317,apecoin,4.210860539321894,1263904217.6495218,195862614.97550556
5490,true-usd,1.0019112617492794,1224851742.563436,65193386.132887565
2066,filecoin,5.08754608127012,1194551958.1022973,69245926.42389053
1858,elrond-erd-2,49.445413838374215,1122563056.2577484,37157468.6492662
5356,theta-token,1.0928348685603395,1103093865.791827,33978104.10913427
4404,quant-network,80.83382660848295,1093494549.012781,76988176.38596046
493,axie-infinity,12.908812400074652,1081947761.1678054,66053632.24137182
2505,helium,8.536565485421718,1064317033.506034,4619182.43756671
122,aave,68.61280677734135,960839047.6774096,236948881.5543294
717,bitcoin-cash-sv,49.78586789501738,952861333.0955836,33658125.34964757
1894,eos,0.9202609117276364,928663969.8277044,131798629.0262072
1205,compound-usd-coin,0.0226451391225277,920059629.390038,14.34374124874324
3010,kucoin-shares,8.674673339276831,849697351.6468117,2444181.2464905647
4077,paxos-standard,1.0031201963710117,842250387.7300767,3089169.7442406616
772,bittorrent,8.173481467791487e-07,763415996.5525314,43035066.22418711
2611,huobi-btc,19476.32651948326,758382210.3992362,224899.86344696625
3267,maker,835.366180072924,756270474.7140461,70078019.7637444
3748,neutrino,0.9904816362888976,748488189.7272038,2636237.7784025464
1802,ecash,3.7763873019234e-05,724069528.1079066,7333162.801526888
5639,usdd,0.9988603478233724,720774349.5931205,75213126.03727439
2763,iota,0.2551549604447033,712157211.3002052,14882534.456394888
2617,huobi-token,4.368686575691696,674654095.0408956,8674031.30123577
1024,cdai,0.0220537434658762,671377414.3828906,2137.6713638792703
6114,zcash,52.42793457361505,665763246.4860331,59314666.91522454
5328,the-graph,0.0875686517815682,658454815.6706814,41335736.82366907
5283,tenset,3.3131787240452857,648072512.5326533,1291377.0502162108
2959,klay-token,0.2159659345774852,630168456.0077734,12378936.896344803
4439,radix,0.0620700902701158,615465005.0489787,305515.0952943001
2028,fantom,0.2366145084832203,606862949.9055128,120112248.39362524
