,coin-id,close-price,market-cap,volume
586,bitcoin,50663.48710213215,958099737762.7762,17235296605.82555
1537,ethereum,4110.571870853741,488792890035.2106,11869342790.219467
534,binancecoin,548.7449450690223,92441360231.32368,1190695627.4241185
4123,tether,1.0011658004083022,78082501156.49654,44025539295.41343
3833,solana,193.28925387578548,59797071721.91303,1257985154.9824424
783,cardano,1.4586640242200146,46766255151.99811,865408025.7463002
3544,ripple,0.9278571385084832,44106583972.1587,2459150767.314069
4392,usd-coin,0.9999938549872146,42562441813.3577,1675977903.4001372
4115,terra-luna,98.54672900920406,35987270821.25628,2645746335.9076614
3280,polkadot,28.94915717480624,31022208369.71725,562403880.4516754
372,avalanche-2,115.30089651953932,28053866214.00539,800347079.3187648
1344,dogecoin,0.1923670104046999,25521478296.4772,1207125374.8378148
3718,shiba-inu,3.797720225606131e-05,20880986818.282364,1058340966.7881382
2582,matic-network,2.643760204728756,18230317296.6224,1303093441.4866714
1053,crypto-com-chain,0.6500411972420093,16437077612.513536,372569226.2827641
532,binance-usd,1.0017115474517315,14858901332.136488,2874424280.948771
4611,wrapped-bitcoin,50748.78316824812,13141463880.287144,243685327.2437987
2454,litecoin,158.79313995505825,10999748995.760109,770423737.6767217
847,chainlink,22.217433541556627,10382822617.289703,574873835.2798483
189,algorand,1.5831112830645258,10054120236.99438,233029216.0954154
4120,terrausd,1.001717907031289,9904722624.76492,169204492.06428835
2872,near,15.226116314143118,9085418392.96444,668429359.0513214
1137,dai,0.9993268245752794,9026946021.357542,240785112.7331544
563,bitcoin-cash,457.7212099445976,8673431766.565655,1808755717.6824973
997,cosmos,29.491686244199528,8372487597.902967,419930390.73299897
4260,tron,0.0818135028375454,8356628444.472547,1169089899.8676465
4350,uniswap,17.537060100939087,7945507642.388939,187727004.90565732
3024,okb,29.899899665360437,7888280393.921637,435402944.14470726
385,axie-infinity,109.7089492275022,7471357604.52585,299722907.12657595
3968,stellar,0.2915474733513964,7208632099.957958,321006657.6573448
3943,staked-ether,4083.124933381449,6614876916.094035,5501738.866266903
4418,vechain,0.0954880545679721,6363984191.710567,214809490.2556296
4149,the-sandbox,6.768166994459652,6212226880.2148,1940803689.0768847
952,compound-ether,82.4107979106369,6081056705.590125,480496.6700685261
1721,ftx-token,42.97160291946628,5972682874.543839,42080217.820793256
1958,hedera-hashgraph,0.3170671741891992,5876625560.832637,51463786.791193776
1600,fantom,2.109735250582015,5362732030.435574,671230895.3751295
1627,filecoin,37.08264159702183,5267872229.783002,304536180.31173974
2147,internet-computer,27.420004742554603,5234159268.242507,215974740.24557537
1476,elrond-erd-2,256.3604230563012,5218472909.467484,92158005.6046054
4158,theta-token,5.066530880652787,5071020356.86161,258014532.7570159
1530,ethereum-classic,38.35544047266754,5059634636.814248,291195892.8169673
1182,decentraland,3.772988799640287,5021740632.459328,827129852.7005938
2530,magic-internet-money,1.0023220284672891,4541801460.884577,216667581.03252244
815,cdai,0.021763947185681,4241336442.122215,416035.84344846633
4125,tezos,4.632518962132503,4040957071.325254,149094607.14773884
1963,helium,38.3923463300444,3865063946.611074,15132255.634912906
2758,monero,212.1766859419564,3835547839.628649,142522740.2781139
4140,the-graph,0.7221528709270741,3804420911.386368,85530036.16437219
1743,gala,0.5017056553500218,3789360682.842389,521710143.7102414
2168,iota,1.3147512480801555,3654390909.016026,83553695.54393794
101,aave,265.19542510031573,3569891742.377638,408355965.7346119
2322,klay-token,1.3583311016305917,3475545345.376404,15935770.824723495
1503,eos,3.423180840221145,3354418863.1169133,409944300.63982695
2404,leo-token,3.557607964641537,3344621917.4023085,478802.8880201707
955,compound-usd-coin,0.0224025280097839,3329249955.765304,52126453.348571874
3122,pancakeswap-token,12.338731013689614,3118409492.623484,89460855.11411205
318,arweave,60.99826385864436,3058402135.84519,92941072.74093188
1492,enjincoin,3.158166358572579,2958413976.7341795,415343583.2040869
1664,flow,9.290344886463942,2951894740.085484,36896774.61326227
1938,harmony,0.2533691885698716,2916583422.935312,68763021.15210386
2479,loopring,2.2835810427630765,2848790871.037393,158224876.08065173
3443,radix,0.2884792479851973,2805265227.8813114,357541.096930989
613,bittorrent-old,0.0028384111019221,2658067409.6517897,398607687.3976544
3030,olympus,399.4740044178159,2657672201.32078,30807329.860955115
2362,kusama,293.45255877110765,2639725224.212582,53705363.5693612
3419,quant-network,195.7516356942433,2632354126.632785,32765693.7616524
646,blockstack,2.3353360501784,2464378750.0275445,43183259.0915075
562,bitcoin-cash-sv,128.71688710747154,2439290740.4344187,547964936.4118961
2541,maker,2701.440143834723,2432050544.2216945,53186291.505593605
223,amp-token,0.049608141203126,2385292225.0213213,13581279.808230914
4162,thorchain,7.926043993348653,2354328680.502494,49050924.04348921
1427,ecash,0.0001219067273186,2304375580.7796392,35196622.66607166
1114,curve-dao-token,5.860372462046721,2298537730.3784328,578973303.0536314
2249,kadena,13.791794748764625,2241052284.562799,62560681.627163775
2880,neo,29.5541578370188,2084454752.244936,96239468.8296912
2043,huobi-btc,51057.1099113212,2036365968.8396823,834944.2555208784
4749,zcash,169.54007209443145,2024622632.8952396,260665353.31175253
457,basic-attention-token,1.3486530395717284,2020697978.2106705,226819170.2651054
4157,theta-fuel,0.2212291960511081,1886178773.9046776,17800970.14672215
977,convex-finance,43.095590785012426,1872193518.9432635,27545657.00276073
3907,spell-token,0.0228873534055107,1804883850.409248,73113625.09803103
826,celo,4.895092204298634,1802617201.533092,32048932.302201733
2357,kucoin-shares,22.96624428122331,1763375172.292906,12508117.68822677
876,chiliz,0.3206010688276811,1713986118.0121436,152241685.10664254
827,celsius-degree-token,3.862291659170572,1637328462.4383082,1434942.3169467228
4543,waves,16.232178979906486,1625825766.430057,75084629.41703807
1698,frax,1.0001781121703108,1621146229.424699,11621533.01692442
1436,ecomi,0.0066300950964914,1591517586.536058,5200537.975953613
1163,dash,151.47008315620045,1589133776.9145994,209695103.16259632
2007,holotoken,0.008939758864943,1586727423.7004502,104185050.5204873
2046,huobi-token,9.978946993327174,1577605843.8427014,135487057.56932187
3097,osmosis,5.950255675649513,1514141720.032611,27747169.2155454
4023,sushi,7.649620027881638,1478530048.5061233,404146051.8043891
953,compound-governance-token,228.69441174188424,1438737122.0797174,88056214.65211825
2816,msol,197.68827190506568,1415734287.9577465,41469779.79931125
2908,nexo,2.446960870877747,1371141882.1401124,5525993.13720084
4265,true-usd,1.0016774290819972,1316917424.6569324,118018367.79079768
2170,iotex,0.1376491309076301,1307184217.1037984,50378859.46562286
2877,nem,0.1373261038132302,1236552095.6658533,100381329.54532316
2438,link,204.16776925514563,1221933150.8324697,1952161.993828326
2985,oasis-network,0.3436619078818719,1201796166.3756206,146184160.17231917
2704,mina-protocol,3.609120951854488,1195531675.4077446,24366191.716244195
4545,wax,0.5156632515579779,1186346394.4711015,60701229.88146883
595,bitkub-coin,13.172405202502476,1168850102.044037,11403948.115401749
10,1inch,2.7420241457294297,1160934082.2356029,100374791.61616357
1952,havven,5.902728534972826,1156023276.1833029,51270018.73771471
1420,e-radix,0.2885290213804297,1142755510.629449,2331361.4388938327
4706,yearn-finance,31394.225245942314,1120107098.7502246,200340816.8690594
3158,paxos-standard,1.0022253076052516,1108574402.504661,4918868.457650928
1192,decred,81.28535031746867,1107534130.436904,4176718.121589032
2464,livepeer,44.84751315925472,1107416056.680921,25974148.56249109
2072,icon,1.5606564304574737,1082924598.0457633,63429537.1724755
3417,qtum,10.093566030870758,1049278534.7145731,101778937.51076472
4654,xdce-crowd-sale,0.0816673770830459,1029265597.0419484,5725401.061393909
1532,ethereum-name-service,46.40842846609719,1027630063.93474,85201457.38777637
3471,ravencoin,0.0969947079906676,1008730973.3112184,24001455.778526917
1773,gatechain-token,6.389323496106769,1006675313.323057,3539790.8613718757
4595,wonderland,4380.411075137848,1001222920.3520472,47955052.00857314
1260,deso,92.82116858420578,980463844.2623965,6425051.06198519
3035,omisego,6.866196704646758,965300590.4393656,206688041.42884943
4779,zilliqa,0.0735757474930771,952821454.2969564,39024838.05713123
976,convex-crv,5.757503939994071,944877251.9208362,317784.4794866059
2981,nxm,136.71566794184318,943212134.9883432,14366.239369467134
238,ankr,0.1139680038783527,930712967.1500984,27004995.48447686
1350,dogelon-mars,1.6671857614389151e-06,926164581.5151316,47289164.74652205
351,audius,1.7997006134992302,922394539.339358,21941392.871175587
3676,secret,5.7346631505114924,894354308.7666019,5459952.590593928
2104,immutable-x,4.714930474536244,887927915.8987153,39350818.269795
1204,defi-kingdoms,14.260258769124553,880661304.8945774,20689959.971083347
956,compound-usdt,0.0216395746207015,879205689.5153041,22794695.11777066
3507,render-token,5.652899079806415,874236671.3207694,26070762.746642485
2446,liquity-usd,0.9997683517848852,867090045.7719023,13627759.68694816
3457,rally-2,0.3809165931901784,860527406.0559938,5163783.758725368
3506,renbtc,50614.24893972396,856737439.3567634,1955120.093534292
1843,gnosis,456.2905855999353,852571333.5506904,2440793.246892026
4098,telcoin,0.0141555064280137,851558028.4540584,8869099.981552182
4763,zencash,71.07428383175859,846219212.7836143,45099757.20886569
3747,siacoin,0.0168864016663019,838985584.5967053,17538743.14810578
2167,iostoken,0.0362539712642699,834175322.5605794,62133520.53815967
4596,woo-network,0.9596605892995684,831398602.5319239,28322171.097264417
1615,fei-usd,0.9978409073056884,830625038.3065041,23503367.47600254
3616,safemoon,1.47961169625421e-06,828351767.1104211,931280.7508778328
445,bancor,3.573847114353597,825223641.69846,23845849.41472288
