,coin-id,close-price,market-cap,volume
917,bitcoin,24628.82455217312,475194230168.0997,54200707340.94142
2404,ethereum,1697.0848665737892,204534589183.7981,10807323083.841965
6635,tether,1.0001364324569622,70292722478.4183,64414293061.83208
848,binancecoin,313.67158841558035,49577894902.09543,1114028934.4542108
7032,usd-coin,1.0016684846631323,41850455705.75069,4228026056.270661
5732,ripple,0.3953120430532022,20087928758.71447,1212725512.0546696
4894,okb,57.97501790506765,14340743027.040731,93581606.84284712
1227,cardano,0.4050167658008515,14191016122.507011,417077588.7908471
4146,matic-network,1.5309033259933795,13811854407.362392,1546552729.6136537
845,binance-usd,1.0021041379333813,13334994535.290722,12024807078.123611
2085,dogecoin,0.0878021545073928,12132650426.076529,564836418.8191197
5307,polkadot,7.297050421684514,8780715046.827116,816508568.9527842
6166,solana,23.193970760954844,8757810457.777061,666303722.2640171
6345,staked-ether,1698.9650273496975,8720760186.13467,15015007.015169768
5990,shiba-inu,1.319686849530986e-05,7786477723.284443,399992639.60227466
3931,litecoin,100.41151129314852,7261915035.602173,805649906.7449956
6856,tron,0.0705220240381414,6462930793.900273,510742382.8357276
591,avalanche-2,19.52678498268642,6149757520.816559,238127583.55693775
6980,uniswap,6.739587354743142,5084659621.06852,140622726.7114035
1775,dai,1.0004972078014278,5071282250.20385,245425007.99086484
7399,wrapped-bitcoin,24633.622149325885,4330650491.656771,285742536.8173438
1561,cosmos,14.19418360536147,4153215942.690373,203123665.72669616
1312,chainlink,7.681137629968218,3755394268.7073703,811294896.1103245
6673,the-open-network,2.309368944406671,3396780706.836728,23142201.0195119
2394,ethereum-classic,22.42680087685844,3128894183.6344724,231026210.97603372
3851,leo-token,3.3627530018732257,3125830392.7711043,514776.6572255855
2559,filecoin,7.693883350719703,2968132517.8048906,1553511930.1120636
4477,monero,159.82542721574984,2899601560.620418,104955716.11047532
890,bitcoin-cash,134.0922559252283,2591466064.984283,566346452.3892655
3874,lido-dao,3.019434678129693,2546926715.1461043,333933711.983967
401,aptos,14.718857652558878,2485343837.5080867,554867714.6249095
6388,stellar,0.0906132560095167,2386164648.2635283,75389385.841062
3100,hedera-hashgraph,0.0854424535197261,2246990795.603566,71054927.94003378
3432,internet-computer,7.312980498331088,2122496218.4271128,368072262.5179812
4657,near,2.463037458640916,2119407593.3291776,194353614.7083895
5522,quant-network,140.35103757057502,2040751154.164333,40514696.881461866
380,apecoin,5.5234964520556025,2034410922.160728,167510283.50562364
1654,crypto-com-chain,0.0799120023767199,2020595138.6514745,22527741.04596842
7084,vechain,0.0277364838629284,2013811885.6523333,228221172.8640905
274,algorand,0.2722285702701092,1933525235.893152,127335530.53667602
2514,fantom,0.5559886913643548,1546239186.1467848,580137348.178131
6663,the-graph,0.1686221740061315,1501084939.464653,180742004.86633396
2621,flow,1.311207775209658,1368241934.8861277,196858284.0125416
6683,the-sandbox,0.7627942844165707,1348461761.8659327,327013325.9487411
1841,decentraland,0.7165841004078839,1308344644.1495094,175662730.46570492
2350,eos,1.1953056900894798,1306873908.4410477,349240504.52376825
2309,elrond-erd-2,49.56463779480233,1236760294.606674,61509884.912532166
130,aave,86.61824929488017,1235912920.7908113,151655458.74434403
614,axie-infinity,10.68137479376325,1231333718.967292,123015301.04196592
6699,theta-token,1.2095578477520352,1209664699.766547,56426887.7475221
6640,tezos,1.1594645464390032,1066350078.4695072,44862894.05709919
2677,frax,0.9996422207494072,1030897647.4679232,18188345.236700755
5749,rocket-pool,52.06864264307055,1015951888.1421628,39691948.00116208
6622,terra-luna,0.000170540951185,1007873702.8412472,72169582.03213747
6862,true-usd,1.0019575881808924,968458747.1635718,67297418.71777104
1737,curve-dao-token,1.2182010403677586,911354352.6820391,224476086.79492983
3703,klay-token,0.2927576888600602,908684610.8652598,266636815.6571155
4399,mina-protocol,1.078714497981926,908139398.6953104,142089814.33626127
3361,immutable-x,1.09400048232369,864364623.5865788,62582932.34533007
3765,kucoin-shares,8.792899533405679,855026713.9116306,1548916.3135509165
3275,huobi-token,5.173597110101012,842398973.7713974,18163070.446598902
3086,havven,2.638432266703185,828197926.9707837,61311319.54744794
889,bitcoin-cash-sv,42.61764555268392,820309934.2160045,28771044.532357767
1814,dash,73.09670636291162,813444227.854285,169216571.62319946
2676,frax-share,11.012882410077545,813437930.269872,68841101.46970037
5056,pancakeswap-token,4.190308935337463,801624306.7872318,64600974.58473645
1362,chiliz,0.1408494987839914,752542882.0068961,111842235.27794383
5116,paxos-standard,1.0000037620248432,727162573.4556762,2529477.5057691685
7036,usdd,1.0016264833739843,724758781.1168249,94909482.62187707
952,bittorrent,7.420458215698155e-07,705469811.7382686,16562794.647981226
2235,ecash,3.6169369448276685e-05,700084871.7635244,11038849.89455189
2897,gmx,82.52304085200042,698631742.6166683,73193729.04338822
921,bitdao,0.5973816583415763,696493779.7601175,13931332.689867806
3458,iota,0.2461764695408218,683991120.124426,18060799.48547728
490,arweave,13.539162922618816,679389580.3002381,152329805.35605285
2793,gatechain-token,4.665716604326353,676510183.7756501,818263.0420980315
4674,neo,9.558940688115914,673859789.9584504,59324884.74602074
4083,maker,726.0446042860862,653735230.3278949,30324941.571493
6866,trust-wallet-token,1.4708768708454236,614532773.3022774,35432856.44599065
